query_submap,match1_submap,match1_score,match2_submap,match2_score,match3_submap,match3_score,match4_submap,match4_score,match5_submap,match5_score,match6_submap,match6_score,match7_submap,match7_score,updated_at_iso
sm_00000,sm_00008,12.000000,sm_00009,11.000000,sm_00007,9.000000,sm_00006,6.000000,sm_00004,5.000000,sm_00005,3.000000,,,2026-06-07T19:07:43.285745Z
sm_00002,sm_00006,70.000000,sm_00004,51.000000,sm_00007,17.000000,sm_00009,17.000000,sm_00008,5.000000,sm_00000,4.000000,sm_00001,4.000000,2026-06-07T19:08:13.783036Z
sm_00003,sm_00006,47.000000,sm_00004,18.000000,sm_00007,10.000000,sm_00009,10.000000,sm_00000,2.000000,sm_00001,2.000000,sm_00002,2.000000,2026-06-07T19:08:45.617039Z
sm_00004,sm_00008,158.000000,sm_00009,106.000000,sm_00005,75.000000,sm_00007,67.000000,sm_00006,65.000000,sm_00002,8.000000,sm_00000,2.000000,2026-06-07T19:10:13.180636Z
sm_00005,sm_00009,258.000000,sm_00008,243.000000,sm_00007,228.000000,sm_00006,69.000000,sm_00004,15.000000,sm_00002,14.000000,sm_00000,5.000000,2026-06-07T19:12:11.828844Z
sm_00006,sm_00008,403.000000,sm_00009,160.000000,sm_00005,138.000000,sm_00007,123.000000,sm_00002,19.000000,sm_00004,17.000000,sm_00003,10.000000,2026-06-07T19:14:19.938686Z
sm_00007,sm_00008,334.000000,sm_00009,235.000000,sm_00005,206.000000,sm_00006,87.000000,sm_00002,8.000000,sm_00004,7.000000,sm_00000,3.000000,2026-06-07T19:16:37.747416Z
sm_00008,sm_00009,1070.000000,sm_00005,935.000000,sm_00007,880.000000,sm_00006,549.000000,sm_00004,207.000000,sm_00002,7.000000,sm_00000,3.000000,2026-06-07T19:19:02.550557Z
sm_00009,sm_00008,452.000000,sm_00005,171.000000,sm_00006,129.000000,sm_00007,128.000000,sm_00004,73.000000,sm_00002,5.000000,sm_00000,4.000000,2026-06-07T19:21:33.575979Z
