sequenceID,MappingManager_main_FrameID,rot_w,rot_x,rot_y,rot_z,pos_x,pos_y,pos_z,cur_time,currentLocation_Timestamp,latLon_x,latLon_y,accuracy,0,accuracy,XRCameraIntrinsics_focalLength_x,XRCameraIntrinsics_focalLength_y,XRCameraIntrinsics_resolution_x,XRCameraIntrinsics_resolution_y,XRCameraIntrinsics_principalPoint_x,XRCameraIntrinsics_principalPoint_y,compass,compassAccuracy,compassMagnetic,satelliteView,satelliteUsed,speedMetersPerSecond,Input_acceleration_x,Input_acceleration_y,Input_acceleration_z,gyro_userAcceleration_x,gyro_userAcceleration_y,gyro_userAcceleration_z,ArFoundationCameraStats_mainArFoundation_CurrentSpeed,ArFoundationCameraStats_mainArFoundation_CurrentAngleSpeed,ArFoundationCameraStats_mainArFoundation_TimeRangeAverage,ArFoundationCameraStats_mainArFoundation_InTimeRangeAverageSpeed,ArFoundationCameraStats_mainArFoundation_InTimeRangeAverageAngleSpeed,ArFoundationLightManager_main_LastIntensity,lightEstimationData_averageBrightness,lightEstimationData_averageColorTemperature,lightEstimationData_colorCorrection_Value_r,lightEstimationData_colorCorrection_Value_g,lightEstimationData_colorCorrection_Value_b,lightEstimationData_averageIntensityInLumens,lightEstimationData_mainLightIntensityLumens,lightEstimationData_averageMainLightBrightness,lastFrameEventArgs_exposureDuration,lastFrameEventArgs_exposureOffset,vApplication_version,bApplication_buildGUID,Exif_ApertureValue,Exif_Brightness,Exif_ExposureTime,Exif_ShutterSpeed,Exif_ExposureBias,Exif_FNumber,Exif_FocalLength,Exif_Flash,Exif_ColorSpace,Exif_PhotographicSensitivity,Exif_MeteringMode,depth_CameraConfiguredDepthSensorSupport,depth_LastRGBWidth,depth_LastRGBHeight,depth_LastDepthWidth,depth_LastDepthHeight,depth_LastDepthConfidenceWidth,depth_LastDepthConfidenceHeight,depth_LastDepthRawWidth,depth_LastDepthRawHeight,depth_LastDepthSmoothedWidth,depth_LastDepthSmoothedHeight,depth_LastHumanDepthWidth,depth_LastHumanDepthHeight,depth_LastHumanStencilWidth,depth_LastHumanStencilHeight
77,0009,-0.9629143,-0.1308966,-0.1997977,0.1254716,-1.161923,1.153419,-1.848003,1773713823,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,223.1921,66,33,0.08647333,0.1120605,-0.8496093,-0.3095703,0,0,0,0.5597848,16.4056,1,0.694319,27.70464,1.009393,0.4703769,0,0.9834878,1,1.013687,940.7539,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0010,-0.9600511,-0.1368362,-0.2223603,0.1006664,-1.274271,1.151808,-1.759851,1773713823,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,224.5523,66,33,0.08647333,0.1201172,-0.9616699,-0.3161621,0,0,0,0.6958314,20.26125,1,0.7282889,22.95614,1.01501,0.4729947,0,0.9887987,1,1.006088,945.9895,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0011,-0.9340048,-0.12984,-0.312519,0.1144925,-1.435201,1.138214,-1.663622,1773713824,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,220.8352,66,33,0.08647333,0.1162109,-0.8408203,-0.395752,0,0,0,0.7070885,32.7401,1,0.7958861,30.62172,1.080957,0.503726,0,0.9933996,1,1.006551,1007.452,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0012,-0.9149953,-0.1189316,-0.366227,0.1204855,-1.565332,1.155021,-1.583529,1773713824,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,249.9055,66,33,0.08647333,0.1469727,-0.9924316,-0.2150879,0,0,0,0.4938787,19.15717,1,0.7622012,33.16981,1.054116,0.4912183,0,0.9822347,1,1.026957,982.4366,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0013,-0.9124475,-0.1186109,-0.3763636,0.1082666,-1.699284,1.140813,-1.447449,1773713824,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,253.3628,66,32,0.08647333,0.1428223,-1.124512,-0.204834,0,0,0,0.6669147,8.31034,1,0.6608481,26.96528,1.053456,0.4909107,0,0.9825944,1,1.024306,981.8214,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0014,-0.9178244,-0.1130407,-0.3638726,0.1114314,-1.783442,1.148929,-1.319792,1773713824,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,226.8694,66,32,0.08647333,0.04980469,-0.885498,-0.2189941,0,0,0,0.7116819,16.47109,1,0.6801866,26.6646,1.05299,0.4906933,0,0.985741,1,1.020424,981.3865,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0015,-0.9058804,-0.1014853,-0.3932773,0.1200605,-1.87481,1.15568,-1.191264,1773713825,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,228.7199,66,32,0.08647333,0.0793457,-1.032227,-0.3896484,0,0,0,1.11835,40.87617,1,0.6657553,20.35896,1.059029,0.4935077,0,0.9892802,1,1.019104,987.0154,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0016,-0.8839136,-0.1015807,-0.4398448,0.1221256,-1.974498,1.132291,-1.074323,1773713825,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,205.1124,66,32,0.08647333,-0.05395508,-0.9189453,-0.3405762,0,0,0,0.6486458,40.8793,1,0.6909913,20.24232,1.114513,0.5193629,0,0.9830671,1,1.033571,1038.726,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0017,-0.8470012,-0.09248201,-0.5034652,0.1433842,-2.087558,1.150824,-0.9675732,1773713825,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,260.0699,66,33,0.08647333,0.1733398,-0.9133301,-0.1882324,0,0,0,0.4800169,28.11598,1,0.73447,29.95335,1.04243,0.4857723,0,0.983539,1,1.03434,971.5447,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0018,-0.834814,-0.09795555,-0.5241902,0.1368032,-2.171155,1.146192,-0.8354731,1773713825,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,251.847,66,33,0.08647333,0.1982422,-1.074463,-0.2893066,0,0,0,0.6992579,12.64951,1,0.7157323,29.83443,1.030188,0.4800677,0,0.9775637,1,1.034895,960.1353,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
