query_submap,match1_submap,match1_score,match2_submap,match2_score,match3_submap,match3_score,match4_submap,match4_score,match5_submap,match5_score,match6_submap,match6_score,match7_submap,match7_score,updated_at_iso
sm_00000,sm_00009,23.000000,sm_00008,21.000000,sm_00004,10.000000,sm_00007,6.000000,sm_00002,4.000000,,,,,2026-06-07T13:05:34.484097Z
sm_00002,sm_00009,29.000000,sm_00004,18.000000,sm_00008,17.000000,sm_00000,6.000000,sm_00007,4.000000,,,,,2026-06-07T13:07:11.310283Z
sm_00003,sm_00009,33.000000,sm_00008,30.000000,sm_00004,27.000000,sm_00007,11.000000,sm_00002,7.000000,sm_00005,6.000000,sm_00006,6.000000,2026-06-07T13:08:47.053154Z
sm_00004,sm_00009,134.000000,sm_00008,115.000000,sm_00007,51.000000,sm_00006,41.000000,sm_00005,37.000000,sm_00002,13.000000,sm_00000,12.000000,2026-06-07T13:10:24.503138Z
sm_00005,sm_00008,251.000000,sm_00009,101.000000,sm_00007,74.000000,sm_00006,27.000000,sm_00004,24.000000,sm_00003,9.000000,sm_00002,9.000000,2026-06-07T13:12:20.721438Z
sm_00006,sm_00008,270.000000,sm_00007,105.000000,sm_00009,76.000000,sm_00005,45.000000,sm_00004,12.000000,sm_00002,7.000000,sm_00003,5.000000,2026-06-07T13:14:33.330272Z
sm_00007,sm_00009,635.000000,sm_00004,37.000000,sm_00008,24.000000,sm_00002,19.000000,sm_00000,18.000000,sm_00001,13.000000,sm_00003,13.000000,2026-06-07T13:16:00.253858Z
sm_00008,sm_00009,2576.000000,sm_00000,11.000000,,,,,,,,,,,2026-06-07T13:18:26.849441Z
sm_00009,sm_00008,1874.000000,sm_00007,252.000000,sm_00006,21.000000,sm_00004,13.000000,sm_00002,6.000000,sm_00005,1.000000,,,2026-06-07T13:20:57.451453Z
