sequenceID,MappingManager_main_FrameID,rot_w,rot_x,rot_y,rot_z,pos_x,pos_y,pos_z,cur_time,currentLocation_Timestamp,latLon_x,latLon_y,accuracy,0,accuracy,XRCameraIntrinsics_focalLength_x,XRCameraIntrinsics_focalLength_y,XRCameraIntrinsics_resolution_x,XRCameraIntrinsics_resolution_y,XRCameraIntrinsics_principalPoint_x,XRCameraIntrinsics_principalPoint_y,compass,compassAccuracy,compassMagnetic,satelliteView,satelliteUsed,speedMetersPerSecond,Input_acceleration_x,Input_acceleration_y,Input_acceleration_z,gyro_userAcceleration_x,gyro_userAcceleration_y,gyro_userAcceleration_z,ArFoundationCameraStats_mainArFoundation_CurrentSpeed,ArFoundationCameraStats_mainArFoundation_CurrentAngleSpeed,ArFoundationCameraStats_mainArFoundation_TimeRangeAverage,ArFoundationCameraStats_mainArFoundation_InTimeRangeAverageSpeed,ArFoundationCameraStats_mainArFoundation_InTimeRangeAverageAngleSpeed,ArFoundationLightManager_main_LastIntensity,lightEstimationData_averageBrightness,lightEstimationData_averageColorTemperature,lightEstimationData_colorCorrection_Value_r,lightEstimationData_colorCorrection_Value_g,lightEstimationData_colorCorrection_Value_b,lightEstimationData_averageIntensityInLumens,lightEstimationData_mainLightIntensityLumens,lightEstimationData_averageMainLightBrightness,lastFrameEventArgs_exposureDuration,lastFrameEventArgs_exposureOffset,vApplication_version,bApplication_buildGUID,Exif_ApertureValue,Exif_Brightness,Exif_ExposureTime,Exif_ShutterSpeed,Exif_ExposureBias,Exif_FNumber,Exif_FocalLength,Exif_Flash,Exif_ColorSpace,Exif_PhotographicSensitivity,Exif_MeteringMode,depth_CameraConfiguredDepthSensorSupport,depth_LastRGBWidth,depth_LastRGBHeight,depth_LastDepthWidth,depth_LastDepthHeight,depth_LastDepthConfidenceWidth,depth_LastDepthConfidenceHeight,depth_LastDepthRawWidth,depth_LastDepthRawHeight,depth_LastDepthSmoothedWidth,depth_LastDepthSmoothedHeight,depth_LastHumanDepthWidth,depth_LastHumanDepthHeight,depth_LastHumanStencilWidth,depth_LastHumanStencilHeight

489,0000,-0.8237216,-0.07672402,0.5604457,-0.03868634,3.697952,1.309675,-1.332642,1775453147,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,345.1301,112,61,0,-0.200934,-0.941413,-0.061427,0,0,0,0.3080754,32.09083,1,0.2432841,40.74765,1.209895,0.5638112,0,0.9795734,1,1.014601,1127.622,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
489,0001,-0.8345585,-0.0784362,0.5450141,-0.01787631,3.743118,1.306462,-1.195023,1775453147,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,307.6803,112,61,0,0.288896,-1.046516,-0.153781,0,0,0,0.6275267,26.78655,1,0.4070222,35.6479,1.181647,0.5506474,0,0.9805374,1,1.009559,1101.295,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
489,0002,-0.7944134,-0.07201533,0.5988929,-0.07105345,3.764389,1.313738,-1.036499,1775453147,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,249.2956,112,61,0,-0.128161,-0.9318359,-0.19886,0,0,0,0.6339478,40.61377,1,0.5033759,42.343,1.153057,0.5373244,0,0.9998461,1,0.9960604,1074.649,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
489,0003,-0.781597,-0.09083952,0.6142021,-0.06008406,3.774811,1.306476,-0.8684387,1775453148,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,303.8473,112,61,0,0.065697,-1.070672,-0.149084,0,0,0,0.8503009,17.18007,1,0.5886866,38.68573,1.170989,0.5456808,0,1.004788,1,0.9902205,1091.362,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
489,0004,-0.7761771,-0.09422145,0.6213091,-0.05144344,3.762115,1.289932,-0.6726837,1775453148,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,312.8365,113,61,0,0.256993,-1.096902,-0.16226,0,0,0,0.9274114,16.64406,1,0.7199814,34.28551,1.205177,0.5616125,0,1.007794,1,0.9869498,1123.225,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
489,0005,-0.7690059,-0.07974339,0.6317267,-0.05650156,3.720215,1.320868,-0.4903107,1775453148,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,271.5057,113,61,0,-0.012322,-0.686677,-0.125721,0,0,0,1.092227,31.83568,1,0.8581141,31.58244,1.232869,0.5745171,0,1.010276,1,0.9817815,1149.034,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
489,0006,-0.7510836,-0.06652008,0.6551556,-0.04711442,3.678589,1.334083,-0.3008881,1775453148,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,249.7632,113,61,0,-0.058743,-1.279536,-0.217953,0,0,0,1.038077,31.69579,1,0.9586818,30.63075,1.260151,0.5872304,0,1.007522,1,0.9838629,1174.461,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
489,0007,-0.7332147,-0.06069755,0.6746136,-0.06007172,3.63736,1.300083,-0.09840393,1775453148,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,217.4378,113,61,0,0.038064,-1.032608,-0.165066,0,0,0,1.202697,28.13485,1,1.049906,27.6976,1.277948,0.5955236,0,1.011168,1,0.976195,1191.047,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
489,0008,-0.7060537,-0.05826126,0.7027423,-0.06517076,3.596268,1.318793,0.1219025,1775453148,1775453131,13.7459229,100.53741854,3.790092,0,3.790092,1325.123,1325.492,1920,1080,960.2882,540.5493,0,1,181.6554,113,61,0,-0.113338,-0.782752,-0.09314699,0,0,0,1.381913,16.68824,1,1.158798,25.65318,1.286744,0.5996228,0,1.012035,1,0.9719456,1199.246,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
